"","AKT (pS473)","AKT(pT308)","Bcl-2","Bcl-2 (pS70)","Bcl-xL","Bim","Btk (pY223)/Itk (pY180)","Btk (pY551) & p-Itk (pY511)","IgG Kappa (isotype control)","Mcl-1","MEK1 (pS218)/MEK2 (pS222)","MEK1 (pS298)","mTOR (pS2448)","NF-κB p65 (pS529)","p38 MAPK (pT180/182)","p44/42 MAPK (pT202/Y204)","p53(pS37)","p90RSK (pS380)","PLC-γ2 (pY759)","Rb (pS807/S811)","S6-ribosomal protein (pS235/236)","SAPK/JNK (pT183/Y185)","STAT1 (pS727)","STAT1 (pY701)","STAT3 (pS727)","STAT3 (pY705)","STAT5 (pY694)","STAT6 (pY641)","SYK (pY525/526)","TBK1 (pS172)","Tyrosine (pY100)","ZAP70/Syk (pY319/Y352)"
"031",4194.02108311323,2134.98321180042,11310.8631406021,2493.56171000236,16305.9767913972,8829.39025860621,6548.00409288625,2129.97983920829,1959.24438746793,2638.49176179973,2045.69737558858,2176.18370361982,2414.74289802375,2126.88176289248,2198.06389532677,2563.75346701451,1942.3078597465,2343.72933452895,2305.95743932059,2193.5416004235,5830.28029406302,3077.33710854889,2115.4358459706,2059.71901405665,2299.66393111789,2090.52346113626,2124.63886831316,2127.82252837406,2539.12269891216,2118.63643689406,5170.34168149994,2213.36216546792
"033",2359.74346908186,1211.77821848808,11348.3829139075,1393.17640212318,5304.25058194894,6646.67989539446,8437.31449193863,1230.25088648487,1146.09465472643,1428.11645965011,1177.19958547945,1215.9824195174,1436.13633686172,1316.24889572066,1221.1129364877,1576.83439013075,1158.28172329709,1449.12948989532,1412.91598255746,1250.69107291193,2974.56149869778,1454.63211848975,1134.2053283655,1161.27690413228,1434.14887646882,1164.0431760353,1232.92278855438,1118.25645686685,1578.69675298015,1334.7822620214,2909.01728043556,1253.29076835827
"034",2127.75096937579,1039.6279030766,8132.04630811284,1089.38430850495,4858.45749343766,5435.68013683247,9880.12476724649,1057.72119705867,961.942526581756,1226.20283383222,1008.83919348393,1048.68632007167,1310.0611507729,1108.45522522877,1015.69178648484,1370.44820575495,975.766806397885,1259.82674549553,1253.83939346197,1098.49105969571,3103.88699393829,1230.00233649433,951.306291594243,971.168289413383,1207.95070776396,990.965125344774,1056.52860922495,942.272066838819,1412.03767544282,1166.60014848677,3363.18502724821,1093.72810594311
"035",1079.25871649416,652.951704681812,7792.24260780003,721.682667015947,14812.1252448317,5952.85374329062,4697.12505998593,553.542160059284,529.274677339781,1640.93841592657,545.240197098778,592.757308877265,695.917157612957,526.746629490787,594.352401747626,842.815382258579,612.097698444373,985.898480200786,638.292089490461,873.089703077913,1458.05900080729,1856.06930343037,501.539391413986,541.567665221485,996.421350875002,529.045443957378,688.715977453627,505.978577259875,895.185247527493,716.730005367591,1681.92615135061,636.269268503001
"036",1558.53412464733,844.460983560772,18387.0265895332,1271.31298806763,6032.50365519378,6366.98601445994,12286.7344892213,684.725532227379,543.898351564182,1196.54791031991,613.387811084742,771.426128289413,1575.33781639988,712.281756840054,598.545208082481,1180.29257681669,676.942410762681,958.892391095567,1116.82489167278,851.21445590761,10513.6636399889,2782.11011347067,567.240122221487,611.951049588704,1067.60599659731,559.583010552653,805.014245139825,526.524795088146,1234.64752630009,1052.36089756767,5968.7236031875,832.091105924534
"038",1735.00295144595,1067.53830999689,9701.36551476459,1257.86367760475,4821.62045605025,6782.16279223441,3760.02853537536,981.603110970474,918.215395413143,1221.09944488529,1014.63863498694,979.907256326399,1204.97910757998,1045.13521064994,992.541454661338,1179.55002061201,1067.54767570169,1199.95752707571,1077.65367424592,1059.29628787421,2144.08006639984,1986.37326896696,1086.22684859394,1000.13467794064,1222.15809451663,946.490805501936,1112.40564425787,1162.58527163478,1210.90170439704,1206.69943272908,1908.55917480782,1015.56724705308
"039",1555.33400679362,850.472750407917,14443.7677096657,1592.48248349299,5395.02166688004,8552.07767636877,3645.61170397434,661.639902069159,638.481464894494,1021.87917955465,687.093030011527,766.7345663466,1004.70974695563,1049.65001704248,749.599714784536,1245.19878045034,672.807922372827,1113.59821060001,797.319890924613,773.967688845245,6518.88258678827,2697.26634069653,661.414350443616,709.80725021952,920.547526500724,647.466756705835,903.715145427921,629.089185464811,1094.27252966538,805.859318855199,1609.84601981208,705.276849982538
"040",2321.70053055315,1487.3628707665,11466.2064624351,1428.99346368059,11180.8407882126,13320.7468783972,8530.30203880689,1229.68015747968,1165.78988192399,2442.38329881453,1219.16247861215,1349.42285499161,1749.19671726309,1387.24508129502,1255.37283602052,2017.43144692646,1209.17382887096,1566.24408529338,1500.11254066554,1366.57167166108,22363.9575719617,4037.03469236808,1184.12063079497,1259.74492740907,1779.64929839509,1196.10643863332,1632.73449246298,1164.04103612544,1975.51017833396,1381.57298014326,4406.83929001329,1242.10195618962
"041",828.526017194637,401.392161708392,6365.76491169838,469.46327076536,13398.7408523073,7350.17496306623,4078.87402866131,339.622884065535,316.975702334626,1287.76258987342,336.836525809051,345.178270048468,440.309801523341,361.394636085357,374.417056677658,440.314055614138,390.288605273714,672.317368686094,379.663844896361,586.43825751926,900.117559445759,1516.23625844543,303.107724864094,339.045701987911,635.085500442597,303.799197357796,478.017068084053,300.748399482306,682.349918495592,475.036149865557,1581.27410965657,388.935620639737
"043",1942.44202111147,937.125908240588,14753.1963291186,1243.60079982888,5969.04365310178,16431.1656476667,13835.9054060662,794.055817311938,627.330206772065,1041.97798613841,726.412272491146,890.191795862146,1279.90023926736,977.227482492334,831.997216482038,987.288767522998,749.53623004676,1194.67297463914,1189.36488779686,844.832282583378,13510.0969379638,1124.4484714102,704.85563263591,716.980082786006,1696.73379620431,709.853102640556,963.867445883839,693.669664938897,1621.14790119272,927.533799652603,5425.39416163859,860.61113737212
"044",2741.43999002745,1593.04686976786,7095.48323215439,1678.43587085404,5655.36240737549,5415.40344142058,4520.21199475329,1419.24458016124,1295.69463456721,1620.36852650791,1426.39063050113,1550.61097860922,1710.02542599618,1422.63140082667,1501.79346062201,1676.26947905053,1533.50574631148,1791.14641527793,1482.84842178618,1469.33966166418,4895.87437189929,2685.77177165816,1475.25152965956,1407.11746053951,1777.71914153978,1368.54659977782,1504.73058719198,1581.43766690387,1639.08606998053,1590.29447243675,2353.92283555209,1437.68128163504
"045",2224.83932928169,1325.04763415663,5653.58999858253,942.103192205602,7224.09955266171,5942.09229564263,8293.3448400998,952.523281319016,827.594473184479,1240.18239134136,895.987715337491,1405.3378984302,1646.42806532096,957.599766775908,1041.3439382369,1244.94957385345,1164.59322973619,1133.04498208957,1082.61038567405,1000.711352957,2200.28498034116,1953.41623672706,974.843713217827,898.877465858125,1295.95870218935,898.960211738133,1024.29874982134,1015.39489252382,1299.38658204829,1088.96772327389,4973.11070071093,975.078318212933
"047",4972.212822796,2875.13110311809,17810.8212285226,3450.55241809765,15122.7928305297,15256.7796025972,12896.0407191648,2354.74559449497,2368.78263589881,3102.59191518872,2626.31810438288,2459.2076514038,2841.28219976071,2602.4263851655,2472.50138309734,NA,2627.44775720639,5293.59313807489,2869.52659941016,2483.43786485823,8382.82022477156,7329.15362361473,2881.14742266221,2836.03991230852,2732.98962179055,2376.57112715843,3641.97166778574,2591.74308473309,3682.51614167446,2726.98695409268,8085.71527022565,2439.25699449873
"048",1128.16053600873,413.789947118928,8686.87288831297,411.261277639721,3370.79406604444,3583.07681986308,10158.1705236066,354.806961147665,267.949906202724,963.023306618711,313.109354064099,373.477357827025,747.05293137991,338.801317469214,316.257445946762,1099.72600799199,332.679556150892,497.373641949081,792.279742014879,396.711226721558,2648.48397474773,1292.9582163095,268.052855362515,291.946269655898,449.116695768537,274.186730019205,369.416383367525,257.807585263381,551.128099726161,450.743965295354,2242.01329432872,460.141022769341
